id,nome,calcio_mg,ferro_mg,zinco_mg,magnesio_mg,fosforo_mg,potassio_mg,selenio_ug,vitamina_a_ug,vitamina_d_ug,vitamina_e_mg,vitamina_c_mg,vitamina_b1_mg,vitamina_b2_mg,vitamina_b3_mg,vitamina_b6_mg,vitamina_b9_ug,vitamina_b12_ug,confidence,source_detail
764,Asiago d'allevo (stagionato),850,0.4,3.5,35,600,95,14.0,240,0.5,0.35,0,0.03,0.32,0.1,0.08,7,1.8,medium,CREA 2019 asiago stagionato
763,Asiago pressato (fresco),700,0.3,3.0,30,480,90,12.0,200,0.4,0.3,0,0.03,0.28,0.1,0.07,8,1.5,medium,CREA 2019 asiago
775,Ayran (bevanda yogurt turca),90,0.05,0.3,8,70,110,1.5,10,0.02,0.02,0.3,0.03,0.11,0.07,0.03,5,0.22,medium,USDA FDC ayran
526,Brie,184,0.5,2.4,20,188,152,14.5,174,0.5,0.24,0,0.07,0.52,0.4,0.24,65,1.65,high,USDA FDC brie
530,Burrata,300,0.2,1.8,14,200,70,7.0,150,0.3,0.2,0,0.02,0.22,0.1,0.04,8,0.8,medium,USDA FDC burrata
770,Burro di cacao (cosmesi/food),0,0.02,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,high,USDA FDC cocoa butter
872,Caciocavallo podolico stagionato,860,0.5,3.0,35,660,85,12.0,240,0.5,0.3,0,0.03,0.3,0.1,0.07,6,1.5,medium,CREA 2019 caciocavallo
940,Caciotta fresca (tipo formaggella),480,0.3,2.2,20,360,75,9.0,160,0.3,0.22,0,0.03,0.24,0.1,0.05,8,1.1,medium,CREA 2019 caciotta fresca
534,Caciotta toscana,620,0.3,2.7,25,430,80,11.0,200,0.4,0.28,0,0.03,0.27,0.1,0.06,7,1.4,medium,CREA 2019 caciotta
527,Camembert,388,0.3,2.4,20,347,187,14.5,240,0.4,0.21,0,0.03,0.49,0.6,0.23,62,1.3,high,USDA FDC camembert
531,Crescenza (stracchino),295,0.1,1.7,10,200,65,7.0,230,0.3,0.2,0,0.02,0.2,0.2,0.04,18,0.6,high,CREA 2019 crescenza
521,Emmenthal (Emmentaler),970,0.3,3.9,33,636,119,14.5,265,0.5,0.56,0,0.04,0.37,0.04,0.08,10,3.06,high,CREA 2019 emmenthal
536,Feta DOP,493,0.7,2.9,19,337,62,15.0,125,0.4,0.18,0,0.15,0.84,1.0,0.42,32,1.69,high,USDA FDC feta
522,Fontina DOP,700,0.3,3.4,17,466,64,14.5,261,0.6,0.55,0,0.03,0.29,0.1,0.08,6,1.7,high,CREA 2019 fontina
533,Formaggio spalmabile (tipo Philadelphia),98,0.1,0.5,9,104,119,2.4,250,0.2,0.2,0,0.02,0.12,0.1,0.03,13,0.3,high,USDA FDC cream cheese
773,"Gelato proteico (alto prot, basso grassi)",150,0.2,0.6,15,120,180,3.0,20,0.1,0.1,0,0.04,0.2,0.1,0.04,8,0.4,low,stima da gelato proteico commerciale
524,Gorgonzola DOP,528,0.3,2.7,23,387,256,14.5,228,0.5,0.25,0,0.03,0.38,1.0,0.17,36,1.22,high,USDA FDC blue cheese
518,Grana Padano DOP,1165,0.6,3.9,63,692,120,12.0,224,0.5,0.28,0,0.02,0.35,0.06,0.08,10,2.1,high,CREA 2019 grana padano
537,Halloumi (cipriota),700,0.3,3.0,22,420,100,12.0,150,0.3,0.2,0,0.03,0.28,0.1,0.07,10,1.4,medium,USDA FDC halloumi
944,Kefir di acqua (water kefir),5,0.1,0.05,2,3,15,0.1,0,0,0,0,0.01,0.01,0.05,0.01,1,0,low,"stima: acqua fermentata, micronutrienti minimi"
776,Lassi dolce (bevanda yogurt indiana),80,0.05,0.3,7,65,100,1.2,8,0.02,0.02,0.3,0.02,0.1,0.06,0.03,4,0.2,medium,stima da yogurt diluito zuccherato
511,Latte condensato zuccherato,284,0.2,0.9,26,224,371,5.4,100,0.2,0.16,2.6,0.06,0.42,0.2,0.05,11,0.44,high,CREA 2019
769,Latte d'asina (equino),68,0.3,0.2,7,50,64,0.5,2,0.03,0.05,4.7,0.04,0.02,0.2,0.03,5,0.03,medium,USDA FDC donkey milk
510,"Latte di capra, intero",134,0.1,0.3,14,111,204,1.4,57,0.1,0.04,1.3,0.05,0.14,0.3,0.05,1,0.07,high,USDA FDC goat milk
539,Latte di cocco (in lattina),16,1.6,0.7,37,100,263,6.2,0,0,0.15,2.8,0.03,0,0.8,0.03,16,0,high,USDA FDC coconut milk canned
513,Latte fermentato (kefir),130,0.04,0.5,12,100,164,3.6,15,0.1,0.04,0.2,0.03,0.17,0.1,0.06,13,0.3,high,USDA FDC kefir
512,Latte in polvere scremato,1257,0.3,4.1,110,968,1794,27.3,7,0.2,0.01,5.6,0.42,1.55,0.9,0.36,50,4.03,high,USDA FDC nonfat dry milk
941,Latte intero UHT,120,0.1,0.4,11,94,150,1.5,37,0.03,0.07,1,0.04,0.17,0.1,0.04,5,0.4,high,CREA 2019 latte intero
529,Mascarpone,68,0.1,0.4,4,50,40,1.0,300,0.2,0.7,0,0.01,0.06,0.04,0.01,4,0.15,high,CREA 2019 mascarpone
766,Montasio DOP,770,0.3,3.3,32,520,88,13.0,230,0.5,0.32,0,0.03,0.3,0.1,0.07,8,1.6,medium,CREA 2019 montasio
874,Mozzarella affumicata,505,0.3,2.5,18,380,68,9.5,170,0.3,0.23,0,0.02,0.24,0.1,0.05,7,1.2,medium,CREA 2019 mozzarella affum.
942,Panna acida (sour cream),100,0.06,0.3,8,71,115,1.6,150,0.1,0.45,0.7,0.02,0.11,0.06,0.02,9,0.18,high,USDA FDC sour cream
771,Panna da cucina (18% grassi),96,0.04,0.3,8,74,122,0.9,140,0.1,0.35,0.6,0.03,0.12,0.07,0.03,4,0.17,high,USDA FDC light cream
772,Panna fresca (35% grassi),65,0.03,0.2,6,54,75,0.4,411,0.1,1.06,0.6,0.02,0.1,0.04,0.02,3,0.17,high,USDA FDC heavy cream
762,Parmigiano Reggiano 24 mesi,1160,0.7,2.8,43,680,100,22.0,200,0.5,0.22,0,0.04,0.33,0.1,0.09,7,1.2,high,CREA 2019 parmigiano
517,Parmigiano Reggiano DOP (grattugiato),1184,0.8,2.8,44,694,92,22.5,207,0.5,0.22,0,0.04,0.33,0.1,0.09,7,1.2,high,CREA 2019 parmigiano
873,Pecorino di Pienza,900,0.6,3.2,36,680,90,14.0,170,0.5,0.33,0,0.04,0.34,0.1,0.08,5,1.3,medium,CREA 2019 pecorino
