id,nome,calcio_mg,ferro_mg,zinco_mg,magnesio_mg,fosforo_mg,potassio_mg,selenio_ug,vitamina_a_ug,vitamina_d_ug,vitamina_e_mg,vitamina_c_mg,vitamina_b1_mg,vitamina_b2_mg,vitamina_b3_mg,vitamina_b6_mg,vitamina_b9_ug,vitamina_b12_ug,confidence,source_detail
266,"Amaranto, cotto",47,2.1,0.9,65,148,135,5.5,0,0,0.35,1.1,0.01,0.02,0.2,0.11,22,0,high,USDA FDC amaranth cooked
232,"Amaranto, crudo",159,7.6,2.9,248,557,508,18.7,0,0,1.19,4.2,0.12,0.2,0.9,0.59,82,0,high,USDA FDC amaranth grain
260,"Avena, cotta (porridge)",9,1.4,1.0,27,77,61,4.4,0,0,0.08,0,0.08,0.02,0.2,0.01,6,0,high,USDA FDC oatmeal cooked
653,Baguette francese,28,1.2,0.7,22,78,110,22,0,0,0.1,0,0.15,0.06,1.8,0.06,30,0,high,USDA FDC french baguette
281,Biscotti frollini classici,35,1.2,0.5,15,80,100,8,40,0.2,1.2,0,0.08,0.05,1.0,0.03,15,0,medium,CREA 2019
280,Biscotti secchi (tipo digestive),80,2.5,1.0,30,110,180,8,0,0.1,1.5,0,0.15,0.07,2.0,0.06,20,0,medium,CREA 2019
905,Biscotto al cocco (tipo Oro Saiwa),30,1.0,0.4,15,65,90,5,5,0,1.0,0,0.06,0.04,0.8,0.03,10,0,medium,CREA 2019 biscotti est
259,"Bulgur, cotto",10,1.0,0.6,32,40,68,0.6,0,0,0.01,0,0.06,0.03,1.0,0.08,18,0,high,USDA FDC bulgur cooked
908,Ceci al curry (piatto pronto),40,2.3,1.2,35,120,200,3,15,0,0.5,2,0.1,0.06,0.6,0.14,120,0,medium,USDA FDC chana masala
657,"Ceci neri, cotti",49,2.9,1.5,48,168,291,3.7,1,0,0.35,1.3,0.12,0.06,0.5,0.14,172,0,medium,USDA FDC chickpeas cooked
295,"Ceci, secchi tostati (snack)",92,5.0,3.4,115,320,718,6,2,0,0.8,1.3,0.35,0.16,1.5,0.47,440,0,high,USDA FDC chickpeas roasted
899,Chapati (pane indiano integrale),30,2.7,1.7,62,170,166,20,0,0,0.5,0,0.22,0.06,2.2,0.15,24,0,medium,USDA FDC chapati
299,"Cicerchie, cotte",25,1.8,1.0,35,120,300,1.5,1,0,0.1,0.5,0.12,0.06,0.6,0.1,100,0,medium,CREA 2019 cicerchie
286,Cornetto (brioche vuoto),30,1.5,0.6,14,65,90,10,45,0.2,0.5,0,0.16,0.1,1.5,0.04,18,0.1,medium,CREA 2019 brioche
284,Cracker di riso (gallette mini),3,0.2,0.8,25,80,75,7.9,0,0,0.1,0,0.06,0.02,1.6,0.1,4,0,high,USDA FDC rice cakes
274,Crackers integrali,45,3.0,2.0,65,200,270,28,0,0,0.7,0,0.32,0.15,3.8,0.16,30,0,high,CREA 2019
648,"Crespelle (crêpes, neutre)",62,1.0,0.6,12,80,110,10,45,0.5,0.3,0,0.1,0.14,0.8,0.04,14,0.3,medium,USDA FDC crepe
904,Crumble di avena (base dolce),35,2.0,1.2,50,150,180,8,10,0.1,0.8,0,0.2,0.08,1.5,0.1,18,0,medium,USDA FDC oat crumble est
238,Crusca d'avena,58,5.4,3.1,235,734,566,45.2,0,0,1.01,0,1.17,0.22,0.9,0.17,52,0,high,USDA FDC oat bran
